what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1524635851909
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1524635851909
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1524635853926
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.0.4.I20081001-1900,org.polarion.eclipse.team.svn.connector.svnkit15,1524635854226
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635854764
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524635896523
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635919403
started,bundle,org.polarion.eclipse.team.svn.m2eclipse,1.0.2.I20080801-1500,org.polarion.eclipse.team.svn.m2eclipse,1524635992909
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635994698
started,bundle,org.eclipse.jst.common.frameworks,1.1.200.v200805140020,org.eclipse.jst.common.frameworks,1524636320955
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1524636321048
started,bundle,org.eclipse.jst.jee.ui,1.0.102.v200809102205,org.eclipse.jst.jee.ui,1524636322127
started,bundle,org.eclipse.jem.workbench,2.0.101.v200807170530,org.eclipse.jem.workbench,1524636322174
started,bundle,org.eclipse.jst.servlet.ui,1.1.202.v200809102205,org.eclipse.jst.servlet.ui,1524636322891
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.201.v200807240600,org.eclipse.jst.j2ee.navigator.ui,1524636322922
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.2.0.v200809261800,org.springframework.ide.eclipse.webflow.ui,1524636325501
started,bundle,org.springframework.ide.eclipse.webflow.core,2.2.0.v200809261800,org.springframework.ide.eclipse.webflow.core,1524636325673
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1524636876237
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.core,1524636877705
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1524637173247
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1524637173279
started,bundle,org.maven.ide.eclipse.jdt,0.9.7.200810211342,org.maven.ide.eclipse.jdt,1524637173325
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637225393
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637258513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637513083
